date,title,sentiment_score,sentiment,confidence,source
2026-01-27,Future of AI looks bright,0.35,,,
2026-01-27,Regulation debates for AI,0.0,,,
2026-01-27,AI in schools discussed,0.0,,,
2026-01-26,New robots powered by AI,0.14,,,
2026-01-26,Future of AI looks bright,0.35,,,
2026-01-26,AI in schools discussed,0.0,,,
2026-01-25,AI breakthroughs in medicine,0.0,,,
2026-01-25,Concerns over AI privacy,0.0,,,
2026-01-25,New robots powered by AI,0.14,,,
2026-01-24,AI breakthroughs in medicine,0.0,,,
2026-01-24,New robots powered by AI,0.14,,,
2026-01-24,AI startup funding peaks,0.0,,,
2026-01-23,AI breakthroughs in medicine,0.0,,,
2026-01-23,Future of AI looks bright,0.35,,,
2026-01-23,AI in schools discussed,0.0,,,
2026-01-22,Regulation debates for AI,0.0,,,
2026-01-22,Concerns over AI privacy,0.0,,,
2026-01-22,AI in schools discussed,0.0,,,
2026-01-21,AI in schools discussed,0.0,,,
2026-01-21,AI startup funding peaks,0.0,,,
2026-01-21,AI breakthroughs in medicine,0.0,,,
2026-01-27,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-01-27,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-01-27,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-01-27,These 8 big deals defined the year in artificial intelligence,,Neutral,0.9996445178985596,Business Insider
2026-01-27,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-01-27,Aphoristic Intelligence Beats Artificial Intelligence,,Neutral,0.9249447584152222,The Atlantic
2026-01-27,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-01-27,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-01-27,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-01-27,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-01-27,What Are the 2 Top Artificial Intelligence (AI) Stocks to Buy Right Now?,,Neutral,0.9985870122909546,Yahoo Entertainment
2026-01-27,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-01-27,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-01-27,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-01-27,Are We Ready to Be Governed by Artificial Intelligence?,,Neutral,0.9961144924163818,Merionwest.com
2026-01-27,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-01-27,OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,,Neutral,0.9970705509185792,Gizmodo.com
2026-01-27,Prediction: 3 Popular Stocks Will Crash in 2026 When This Stock Market Bubble Bursts (Hint: Not Artificial Intelligence),,Neutral,0.9993913173675536,Yahoo Entertainment
2026-01-27,AI Luminaries Clash At Davos Over How Close Human-Level Intelligence Really Is,,Neutral,0.999904990196228,Slashdot.org
2026-01-27,Apple Taps Google Gemini to Give Siri an AI Glow-Up,,Neutral,0.994485080242157,Gizmodo.com
2026-01-28,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-01-28,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-01-28,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-01-28,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-01-28,These 8 big deals defined the year in artificial intelligence,,Neutral,0.9996445178985596,Business Insider
2026-01-28,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-01-28,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-01-28,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-01-28,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-01-28,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-01-28,What Are the 2 Top Artificial Intelligence (AI) Stocks to Buy Right Now?,,Neutral,0.9985870122909546,Yahoo Entertainment
2026-01-28,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-01-28,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-01-28,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-01-28,Are We Ready to Be Governed by Artificial Intelligence?,,Neutral,0.9961144924163818,Merionwest.com
2026-01-28,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-01-28,OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,,Neutral,0.9970705509185792,Gizmodo.com
2026-01-28,Prediction: 3 Popular Stocks Will Crash in 2026 When This Stock Market Bubble Bursts (Hint: Not Artificial Intelligence),,Neutral,0.9993913173675536,Yahoo Entertainment
2026-01-28,AI Luminaries Clash At Davos Over How Close Human-Level Intelligence Really Is,,Neutral,0.999904990196228,Slashdot.org
2026-01-28,Apple Taps Google Gemini to Give Siri an AI Glow-Up,,Neutral,0.994485080242157,Gizmodo.com
2026-01-28,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-01-28,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-01-28,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-01-28,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-01-28,These 8 big deals defined the year in artificial intelligence,,Neutral,0.9996445178985596,Business Insider
2026-01-28,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-01-28,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-01-28,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-01-28,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-01-28,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-01-28,What Are the 2 Top Artificial Intelligence (AI) Stocks to Buy Right Now?,,Neutral,0.9985870122909546,Yahoo Entertainment
2026-01-28,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-01-28,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-01-28,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-01-28,Are We Ready to Be Governed by Artificial Intelligence?,,Neutral,0.9961144924163818,Merionwest.com
2026-01-28,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-01-28,OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,,Neutral,0.9970705509185792,Gizmodo.com
2026-01-28,Prediction: 3 Popular Stocks Will Crash in 2026 When This Stock Market Bubble Bursts (Hint: Not Artificial Intelligence),,Neutral,0.9993913173675536,Yahoo Entertainment
2026-01-28,AI Luminaries Clash At Davos Over How Close Human-Level Intelligence Really Is,,Neutral,0.999904990196228,Slashdot.org
2026-01-28,Apple Taps Google Gemini to Give Siri an AI Glow-Up,,Neutral,0.994485080242157,Gizmodo.com
2026-01-29,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-01-29,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-01-29,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-01-29,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-01-29,These 8 big deals defined the year in artificial intelligence,,Neutral,0.9996445178985596,Business Insider
2026-01-29,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-01-29,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-01-29,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-01-29,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-01-29,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-01-29,What Are the 2 Top Artificial Intelligence (AI) Stocks to Buy Right Now?,,Neutral,0.9985870122909546,Yahoo Entertainment
2026-01-29,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-01-29,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-01-29,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-01-29,Taiwan is reworking its ground forces. It could unlock new ways of fighting with new tech.,,Positive,0.9999382495880128,Business Insider
2026-01-29,Are We Ready to Be Governed by Artificial Intelligence?,,Neutral,0.9961144924163818,Merionwest.com
2026-01-29,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-01-29,OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,,Neutral,0.9970705509185792,Gizmodo.com
2026-01-29,Prediction: 3 Popular Stocks Will Crash in 2026 When This Stock Market Bubble Bursts (Hint: Not Artificial Intelligence),,Neutral,0.9993913173675536,Yahoo Entertainment
2026-01-29,AI Luminaries Clash At Davos Over How Close Human-Level Intelligence Really Is,,Neutral,0.999904990196228,Slashdot.org
2026-01-30,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-01-30,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-01-30,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-01-30,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-01-30,These 8 big deals defined the year in artificial intelligence,,Neutral,0.9996445178985596,Business Insider
2026-01-30,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-01-30,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-01-30,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-01-30,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-01-30,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-01-30,"The Top 3 Artificial Intelligence (AI) Chip Stocks to Buy With $50,000 in 2026",,Neutral,0.999525547027588,Yahoo Entertainment
2026-01-30,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-01-30,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-01-30,What Are the 2 Top Artificial Intelligence (AI) Stocks to Buy Right Now?,,Neutral,0.9985870122909546,Yahoo Entertainment
2026-01-30,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-01-30,"To keep AI out of her classroom, this high school English teacher went analog",,Neutral,0.9999456405639648,NPR
2026-01-30,Taiwan is reworking its ground forces. It could unlock new ways of fighting with new tech.,,Positive,0.9999382495880128,Business Insider
2026-01-30,Are We Ready to Be Governed by Artificial Intelligence?,,Neutral,0.9961144924163818,Merionwest.com
2026-01-30,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-01-30,Snap is turning its smart glasses team into its own company,,Neutral,0.9997908473014832,The Verge
2026-01-31,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-01-31,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-01-31,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-01-31,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-01-31,These 8 big deals defined the year in artificial intelligence,,Neutral,0.9996445178985596,Business Insider
2026-01-31,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-01-31,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-01-31,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-01-31,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-01-31,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-01-31,"The Top 3 Artificial Intelligence (AI) Chip Stocks to Buy With $50,000 in 2026",,Neutral,0.999525547027588,Yahoo Entertainment
2026-01-31,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-01-31,What Are the 2 Top Artificial Intelligence (AI) Stocks to Buy Right Now?,,Neutral,0.9985870122909546,Yahoo Entertainment
2026-01-31,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-01-31,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-01-31,"To keep AI out of her classroom, this high school English teacher went analog",,Neutral,0.9999456405639648,NPR
2026-01-31,Taiwan is reworking its ground forces. It could unlock new ways of fighting with new tech.,,Positive,0.9999382495880128,Business Insider
2026-01-31,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-01-31,Snap is turning its smart glasses team into its own company,,Neutral,0.9997908473014832,The Verge
2026-01-31,OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,,Neutral,0.9970705509185792,Gizmodo.com
2026-02-01,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-02-01,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-02-01,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-02-01,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-02-01,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-02-01,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-02-01,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-02-01,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-02-01,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-02-01,"The Top 3 Artificial Intelligence (AI) Chip Stocks to Buy With $50,000 in 2026",,Neutral,0.999525547027588,Yahoo Entertainment
2026-02-01,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-02-01,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-02-01,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-02-01,"To keep AI out of her classroom, this high school English teacher went analog",,Neutral,0.9999456405639648,NPR
2026-02-01,Taiwan is reworking its ground forces. It could unlock new ways of fighting with new tech.,,Positive,0.9999382495880128,Business Insider
2026-02-01,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-02-01,Snap is turning its smart glasses team into its own company,,Neutral,0.9997908473014832,The Verge
2026-02-01,OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,,Neutral,0.9970705509185792,Gizmodo.com
2026-02-01,Prediction: 3 Popular Stocks Will Crash in 2026 When This Stock Market Bubble Bursts (Hint: Not Artificial Intelligence),,Neutral,0.9993913173675536,Yahoo Entertainment
2026-02-01,AI Luminaries Clash At Davos Over How Close Human-Level Intelligence Really Is,,Neutral,0.999904990196228,Slashdot.org
2026-02-02,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-02-02,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
2026-02-02,Games Workshop Rejects the Abominable Intelligence,,Neutral,0.9980352520942688,Gizmodo.com
2026-02-02,AI moves into the real world as companion robots and pets,,Neutral,0.9998825788497924,The Verge
2026-02-02,"At CES 2026, Everything Is AI. What Matters Is How You Use It",,Neutral,0.9991470575332642,Wired
2026-02-02,Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,,Neutral,0.9993808269500732,Gizmodo.com
2026-02-02,The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,,Neutral,0.9850769639015198,Business Insider
2026-02-02,The AI Power List,,Neutral,0.9263315200805664,Business Insider
2026-02-02,Apple strikes deal with Google's Gemini to power Siri's AI capabilities,,Positive,0.9802984595298768,Business Insider
2026-02-02,"The Top 3 Artificial Intelligence (AI) Chip Stocks to Buy With $50,000 in 2026",,Neutral,0.999525547027588,Yahoo Entertainment
2026-02-02,This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,,Neutral,0.9978132247924804,Yahoo Entertainment
2026-02-02,2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,,Neutral,0.9993916749954224,Yahoo Entertainment
2026-02-02,Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,,Neutral,0.9996135830879213,Gizmodo.com
2026-02-02,"To keep AI out of her classroom, this high school English teacher went analog",,Neutral,0.9999456405639648,NPR
2026-02-02,Taiwan is reworking its ground forces. It could unlock new ways of fighting with new tech.,,Positive,0.9999382495880128,Business Insider
2026-02-02,British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,,Neutral,0.9991263747215272,Gizmodo.com
2026-02-02,Snap is turning its smart glasses team into its own company,,Neutral,0.9997908473014832,The Verge
2026-02-02,OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,,Neutral,0.9970705509185792,Gizmodo.com
2026-02-02,Prediction: 3 Popular Stocks Will Crash in 2026 When This Stock Market Bubble Bursts (Hint: Not Artificial Intelligence),,Neutral,0.9993913173675536,Yahoo Entertainment
2026-02-02,AI Luminaries Clash At Davos Over How Close Human-Level Intelligence Really Is,,Neutral,0.999904990196228,Slashdot.org
2026-02-03,Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,,Neutral,0.9946807026863098,Gizmodo.com
2026-02-03,AI-Powered Disinformation Swarms Are Coming for Democracy,,Neutral,0.9813857674598694,Wired
